Name,Model,Description,URL
Innovative Soloist Series IP240 Medium Birch Marimba Mallets,MODEL: IP240,"Warm Tone and Clear Articulation for Solo Marimba

The Innovative Percussion IP240 Soloist Series Medium Marimba Mallets are expertly crafted to deliver a brilliant, rich tone with the warmest fundamental possible. Designed with the demanding marimba virtuoso in mind, these medium-hardness mallets offer slightly more immediate articulation than the softer IP200 model. This makes the IP240 an exceptionally popular, highly versatile choice for solo repertoire and intimate percussion ensemble performances.

Premium Materials for Maximum Musicality

Every step of the manufacturing process is tailored to meet the exacting standards of today's professional percussionists. The IP240 features a carefully layered core and custom-spun yarn to produce a world-class sound.

Hard Rubber Core: The core is covered in a series of precise latex combinations to produce a full, resonant fundamental without excessive contact noise.
100% Wool Wrap: Custom-manufactured exclusively for Innovative Percussion, the wool yarn wrap provides a lush, warm attack without sacrificing clarity.
Polished Birch Handles: The rigid birch shafts are polished to a smooth, natural finish, ensuring excellent control and comfort during complex four-mallet passages.
Ideal for the Middle Register

While the IP240 is highly adaptable across the instrument, it is specifically voiced to speak beautifully within the middle three octaves of a 5-octave marimba. The balanced weight distribution and oval head shape prevent the mallets from feeling too top-heavy, providing the player with an effortless, nimble feel across the keyboard.",https://www.steveweissmusic.com/products/innovative-ip240
Vic Firth Robert Van Sice Marimba Mallets - Medium,MODEL: M114,"The Vic Firth M114 Robert Van Sice Medium Marimba Mallets are the most popular model in the entire signature series. Offering unparalleled versatility, the M114 is designed to cover the entire range of the marimba, producing a singing, vibrant sound that is full of life.

Designed by a Marimba Master

Respected internationally as a soloist and masterclass instructor, Robert Van Sice designed this series with an exclusive yarn hand-wrapping technique. This construction virtually eliminates the harsh sound of mallet-to-bar contact. A special interlocking stitch pattern maintains the integrity of the head, while extra-long maple handles provide superior reach and leverage.

Features:
Voicing: Medium articulation, offering incredible versatility across the entire marimba range.
Seamless Articulation: Exclusive hand-wrapped yarn eliminates the sound of bar contact.
Extended Leverage: Long maple shafts provide incredible reach across the keyboard.
Dimensions: 17"" Length | Maple Handles",https://www.steveweissmusic.com/products/vic-firth-m114-marimba-mallets
Vic Firth Robert Van Sice Keyboard Mallets - Medium,MODEL: M124,"The Robert van Sice Signature Keyboard mallets from Vic Firth feature a heavy synthetic core that produces a very robust and complete sound. These yarn wound marimba mallets have been crafted with an exclusive hand-wrapping technique that virtually eliminates the sound of bar contact. A special interlocking stitch pattern maintains the integrity of the head. The maple handles are 17″ long and provide an excellent feel and control. With a full depth of sound and excellent versatility of color, these mallets are the perfect choice for music from Japanese repertoire and pieces demanding multiple layers of timbre.

The M124 medium mallets are the most popular in the series. They feature an extraordinary range of color.",https://www.steveweissmusic.com/products/vic-firth-robert-van-sice-mallet-medium
Innovative Ludwig Albert IP3106B Medium Hard Birch Marimba Mallets,MODEL: IP3106B,"This line of professional keyboard mallets by Innovative Percussion has been specifically designed for Belgium marimba artist Ludwig Albert III. The eight models, previously only offered on rattan handles, are now available on natural birch handles with specially weighted rubber cores of varying sizes and degrees of hardness.

The IP3106B is a medium hard marimba mallet with birch handles.",https://www.steveweissmusic.com/products/innovative-ludwig-albert-ip3106b
Vic Firth Robert Van Sice Marimba Mallets - Medium Soft,MODEL: M113,"Vic Firth M113 Robert Van Sice Medium Soft Marimba Mallets are a general mallet that covers the lower four octaves of the marimba.

Respected internationally as a soloist, teacher and masterclass instructor, Robert Van Sice designed this series of yarn wound marimba mallets with an exclusive hand-wrapping technique that virtually eliminates the sound of bar contact. A special interlocking stitch pattern maintains the integrity of the head. With extra long maple handles for read and leverage. In pairs.

Length: 17""",https://www.steveweissmusic.com/products/vic-firth-m113-marimba-mallets
Liberty One LMM Medium Yarn Birch Marimba Mallets,N/A,"These Liberty One Medium Yarn Marimba Mallets are crafted using high-quality materials to deliver reliable performance, consistency, and durability for everyday use. Featuring premium birch handles paired with a carefully wrapped core, these mallets produce a balanced, full tone that works well across a wide range of playing situations and repertoire.

The medium yarn mallet offers a clear, musical response that makes these mallets an excellent general-purpose choice for marimba practice, ensemble playing, and solo repertoire. Their versatility also extends beyond keyboard percussion, as they function beautifully as suspended cymbal mallets, providing minimal contact noise and controlled articulation.

Designed to compete with other comparable mallets on the market, Liberty One mallets deliver professional-level playability at a fraction of the price. This makes them a smart option for students, educators, and advancing percussionists looking for dependable mallets without the premium cost.

These mallets are sold in pairs

High-quality birch handles for comfortable feel and consistent balance
Medium hardness suitable for practice, ensemble, and solo repertoire
Versatile design also works well for suspended cymbal playing",https://www.steveweissmusic.com/products/liberty-i-lmm-medium-yarn-birch-marimba-mallets
Marimba One Double Helix DHB3 Medium Hard Birch Mallets,N/A,"The Double Helix Series was developed to bring out the warmth of the fundamental throughout the range of the 5-octave marimba. The relaxed yarn tension on these mallets enhances the smooth, dark attack of the mallet.

The exclusive patent pending “double helix wrap” technique allows you to easily identify each mallet in the series. Two strands of yarn are wrapped independently of each other, creating a woven effect. After one of the strands makes a revolution around the mallet head, the other strand makes a revolution, securing the previous strand. This locks the yarn in place and prevents it from unraveling. This unique method of wrapping provides our mallets with their distinct look, and exceptional sound.",https://www.steveweissmusic.com/products/marimba-one-double-helix-dhb3
Marimba One Double Helix DHB4 Medium Birch Mallets,N/A,"The Double Helix Series was developed to bring out the warmth of the fundamental throughout the range of the 5-octave marimba. The relaxed yarn tension on these mallets enhances the smooth, dark attack of the mallet.

The exclusive patent pending “double helix wrap” technique allows you to easily identify each mallet in the series. Two strands of yarn are wrapped independently of each other, creating a woven effect. After one of the strands makes a revolution around the mallet head, the other strand makes a revolution, securing the previous strand. This locks the yarn in place and prevents it from unraveling. This unique method of wrapping provides our mallets with their distinct look, and exceptional sound.",https://www.steveweissmusic.com/products/marimba-one-double-helix-dhb4
Innovative Rattan Series RS251 Medium Rattan Vibe/Marimba Mallets,MODEL: RS251,"This line of mallets has been designed for the contemporary vibraphonist. The rubber mushroom shaped core achieves a rich and fundamentally warm tone. Each pair is hand matched for weight, size and sound.",https://www.steveweissmusic.com/products/innovative-rs251
Encore NZ3B Nancy Zeltsman Medium Hard Birch Marimba Mallets,N/A,"The Encore NZ3B Nancy Zeltsman ""Medium Hard"" mallets are the most versatile mallets in the line. They sound excellent in all registers, particularly the middle of the instrument (from about C3 to C6). As a side note, NZ3's are especially valuable to have in your collection at different levels of wear. An old NZ3 is essentially an ""NZ2.5""! Birch Handles.

One unique characteristic of my line is that the oval-shape of the mallet head is horizontal rather than vertical. I imagine (and maybe it's true) that the width of the mallet activates more of the vertical grains of wood in every bar-thus contributing to a richer tone. Everything about the construction of my line of mallets-from the cores, to the latex, to the type of yarn-is aimed at helping you to produce a fundamental-rich tone.

- Nancy Zeltsman

Hardness - Medium Hard
Handles - Birch",https://www.steveweissmusic.com/products/encore-nancy-zeltsman-nz3b-mallets
